clase,time_s2,fecha_s2,lat,lon,ndvi,ndbi,scl_pct,no2,so2,o3,texto,era5_T2m,era5_Td2m,era5_u10,era5_v10,era5_BLH,era5_RH850,era5_psurf,era5_precip,modis_AOD_047,modis_AOD_055,modis_WV,dist_z_vegetacion_ndvi_ndbi_scl
contaminacion_alta_SO2,20240719T153631_20240719T154010_T18NUJ,2024-07-19 15:36:31,3.3706586090733994,-76.59341539599559,0.7062155604362488,-0.25507593154907227,0.845703125,1.4487055523204617e-05,0.00049352808855474,0.12553265690803528,"Zona con SO2 alto (4.94e-04 mol/m2), posible influencia industrial o combustión.",296.81195068359375,291.3522033691406,0.5180983543395996,-0.9910516738891602,513.545654296875,90.43606567382812,85447.6015625,0.0003072228282690048,0.3189166486263275,0.23066668212413788,2.988680124282837,0.3432982286753822
contaminacion_alta_SO2,20240530T153631_20240530T154156_T18NUJ,2024-05-30 15:36:31,3.554633579260991,-76.37180101540012,0.6856189370155334,-0.2582128345966339,0.95068359375,1.2496361705416348e-05,0.0004746174963656813,0.1148119866847992,"Zona con SO2 alto (4.75e-04 mol/m2), posible influencia industrial o combustión.",296.72998046875,290.99041748046875,-0.307870477437973,-0.855302095413208,494.35302734375,92.56659698486328,86016.96875,5.250982940196991e-05,0.24522916972637177,0.17666666209697723,2.967740058898926,0.42363138274379053
contaminacion_alta_SO2,20220824T153619_20220824T153619_T18NUJ,2022-08-24 15:36:19,3.4494408594906445,-76.60114090743913,0.7190912961959839,-0.25627702474594116,0.87255859375,5.030565262131859e-06,0.0002546963223721832,0.12443557381629944,"Zona con SO2 alto (2.55e-04 mol/m2), posible influencia industrial o combustión.",296.4243469238281,290.55377197265625,0.4439340829849243,-0.5942802429199219,727.47119140625,92.27001953125,85356.3828125,0.0002560494467616081,0.4950000047683716,0.35899999737739563,1.945099949836731,0.4405001896061538
contaminacion_alta_SO2,20240215T153629_20240215T153626_T18NUJ,2024-02-15 15:36:29,3.4034471169437466,-76.35886527530862,0.6755717992782593,-0.2747013568878174,0.939453125,2.0027056962135248e-05,0.0003735231584869325,0.1067645251750946,"Zona con SO2 alto (3.74e-04 mol/m2), posible influencia industrial o combustión.",300.56927490234375,294.1932373046875,-0.42910194396972656,-0.9663064479827881,652.5313720703125,74.34342956542969,89390.859375,0.0,0.39518746733665466,0.2866458296775818,3.8164401054382324,0.4498223416113864
contaminacion_alta_SO2,20240530T153631_20240530T154156_T18NUJ,2024-05-30 15:36:31,3.5623590907044154,-76.37602309723555,0.6772086024284363,-0.27723705768585205,0.82763671875,1.2688770766544621e-05,0.0005144375027157366,0.11513238400220871,"Zona con SO2 alto (5.14e-04 mol/m2), posible influencia industrial o combustión.",296.72998046875,290.99041748046875,-0.307870477437973,-0.855302095413208,494.35302734375,92.56659698486328,86016.96875,5.250982940196991e-05,0.28299999237060547,0.20399999618530273,3.1915597915649414,0.4507813964709469
contaminacion_alta_SO2,20240818T153631_20240818T153625_T18NUK,2024-08-18 15:36:31,3.6389853844397746,-76.41797442100453,0.7048845291137695,-0.26193779706954956,1.0,1.9607721696957015e-05,0.0002645044878590852,0.12825453281402588,"Zona con SO2 alto (2.65e-04 mol/m2), posible influencia industrial o combustión.",297.44451904296875,292.1059875488281,0.19442260265350342,-1.182265281677246,739.6737060546875,96.22848510742188,85946.171875,7.82497227191925e-06,0.11465216428041458,0.08221739530563354,3.2139599323272705,0.6859805144748286
contaminacion_alta_SO2,20220824T153619_20220824T153619_T18NUJ,2022-08-24 15:36:19,3.4485425442065254,-76.42830504677205,0.7026985883712769,-0.2793014943599701,1.0,4.789736067323247e-06,0.00036104756873100996,0.12425608187913895,"Zona con SO2 alto (3.61e-04 mol/m2), posible influencia industrial o combustión.",299.5198059082031,292.00958251953125,-0.6166845560073853,-0.8645470142364502,713.382568359375,81.80860900878906,89523.5234375,0.0,0.16155999898910522,0.11612000316381454,2.187999963760376,0.6937352149058976
contaminacion_alta_SO2,20220605T153619_20220605T153633_T18NUJ,2022-06-05 15:36:19,3.4384814130243915,-76.42516094327759,0.700999915599823,-0.2878871560096741,1.0,1.61920215759892e-05,0.0003629788407124579,0.11675635725259781,"Zona con SO2 alto (3.63e-04 mol/m2), posible influencia industrial o combustión.",297.3465576171875,292.0561218261719,0.31331920623779297,-2.0228967666625977,700.362548828125,74.7867431640625,89493.6875,7.847603410482407e-05,0.043673913925886154,0.03115217387676239,1.7046799659729004,0.7275378255145333
contaminacion_alta_SO2,20211127T153619_20211127T153730_T18NUJ,2021-11-27 15:36:19,3.3267309916799754,-76.42013037768645,0.6647098064422607,-0.29581934213638306,0.951171875,1.701180008240044e-05,0.00016943804803304374,0.11084945499897003,"Zona con SO2 alto (1.69e-04 mol/m2), posible influencia industrial o combustión.",296.38671875,293.8414611816406,0.006106674671173096,-1.4694163799285889,508.5621337890625,87.55961608886719,89531.40625,0.0005170237272977829,0.3452916443347931,0.24983333051204681,1.7980198860168457,0.7336232636818861
contaminacion_alta_SO2,20210804T153621_20210804T154132_T18NUJ,2021-08-04 15:36:21,3.3754196800792307,-76.62027502299115,0.6727405786514282,-0.2615499496459961,1.0,-7.18900810170453e-06,0.000700667966157198,0.11617183685302734,"Zona con SO2 alto (7.01e-04 mol/m2), posible influencia industrial o combustión.",296.9025573730469,290.8732604980469,-0.15771234035491943,-0.6030298471450806,981.156005859375,89.47149658203125,85447.578125,3.6951154470443726e-05,,,1.5038800239562988,0.752174704512394
contaminacion_alta_SO2,20210804T153621_20210804T154132_T18NUJ,2021-08-04 15:36:21,3.5390028933173188,-76.57257448140372,0.6776685118675232,-0.28643956780433655,1.0,2.1972422473481856e-05,0.0006896328995935619,0.1171145811676979,"Zona con SO2 alto (6.90e-04 mol/m2), posible influencia industrial o combustión.",297.4551696777344,294.3717956542969,1.053864598274231,-1.419877052307129,761.482421875,86.96833038330078,90841.0859375,8.467957377433777e-05,0.10004545003175735,0.07172726839780807,2.0652201175689697,0.7615470169370445
contaminacion_alta_SO2,20240828T153621_20240828T154039_T18NUJ,2024-08-28 15:36:21,3.3507160097659554,-76.34539054604663,0.684024453163147,-0.24224841594696045,1.0,2.3411494112224318e-05,0.00020864175166934729,0.1261010766029358,"Zona con SO2 alto (2.09e-04 mol/m2), posible influencia industrial o combustión.",301.607666015625,292.4993591308594,-1.0392229557037354,-0.6778280735015869,777.330322265625,78.2307357788086,89505.9375,0.0,0.2371399998664856,0.17083999514579773,3.6719796657562256,0.767170053459021
contaminacion_alta_SO2,20230106T153621_20230106T154157_T18NUJ,2023-01-06 15:36:21,3.4953447705091305,-76.32023771809092,0.6828619241714478,-0.29232412576675415,1.0,1.8143884517485276e-05,0.00026644777972251177,0.11713407933712006,"Zona con SO2 alto (2.66e-04 mol/m2), posible influencia industrial o combustión.",296.3822021484375,292.73541259765625,-0.207305908203125,-0.04676923155784607,514.6702880859375,91.89962005615234,89633.6328125,2.322625368833542e-05,0.5127143263816833,0.3727142810821533,3.6098601818084717,0.7694684472876278
contaminacion_alta_SO2,20220615T153619_20220615T154006_T18NUJ,2022-06-15 15:36:19,3.436774613984565,-76.42516094327759,0.6581363677978516,-0.25417351722717285,0.80419921875,1.1981225725321565e-05,0.00034210464218631387,0.1170932725071907,"Zona con SO2 alto (3.42e-04 mol/m2), posible influencia industrial o combustión.",297.92718505859375,291.86700439453125,0.20550012588500977,-0.9817901849746704,647.53271484375,82.43870544433594,89523.9296875,0.0,0.3839999735355377,0.2782500088214874,2.4704201221466064,0.7720666006867383
contaminacion_alta_SO2,20240729T153631_20240729T153708_T18NUK,2024-07-29 15:36:31,3.6079036756092537,-76.48049716478015,0.704646646976471,-0.23775158822536469,1.0,1.4997520338511094e-05,0.0006978476303629577,0.12370375543832779,"Zona con SO2 alto (6.98e-04 mol/m2), posible influencia industrial o combustión.",299.6294860839844,289.95782470703125,-0.27758145332336426,-0.2955899238586426,750.1512451171875,86.38542938232422,85876.09375,0.0,0.12859374284744263,0.09237499535083771,3.484139919281006,0.7986834586922119
contaminacion_alta_SO2,20230829T153619_20230829T153712_T18NUJ,2023-08-29 15:36:19,3.4663291868320836,-76.6280903659631,0.6944125890731812,-0.23461081087589264,1.0,9.849110028881114e-06,0.00036425318103283644,0.12363558262586594,"Zona con SO2 alto (3.64e-04 mol/m2), posible influencia industrial o combustión.",297.7915954589844,291.37030029296875,-0.10149633884429932,-1.1170670986175537,839.6387939453125,86.5076904296875,85420.515625,0.0001603076234459877,0.23480001091957092,0.1687999963760376,2.141119956970215,0.8050592922428949
contaminacion_alta_SO2,20210116T153621_20210116T154054_T18NUJ,2021-01-16 15:36:21,3.3817977185964763,-76.47600558835948,0.6829606294631958,-0.30186453461647034,0.994140625,2.0461782696656883e-05,0.00018066544726025313,0.11153491586446762,"Zona con SO2 alto (1.81e-04 mol/m2), posible influencia industrial o combustión.",297.300048828125,294.8316955566406,-0.6866545677185059,-0.10129320621490479,712.9560546875,83.4377212524414,89495.4375,0.0009151846170425415,0.46312499046325684,0.33637499809265137,3.0537400245666504,0.8127090604567371
contaminacion_alta_SO2,20230720T153629_20230720T153804_T18NUK,2023-07-20 15:36:29,3.5960459138588816,-76.45139174957426,0.667056679725647,-0.2497863471508026,1.0,1.5513818652834743e-05,0.0004063330125063658,0.11788205057382584,"Zona con SO2 alto (4.06e-04 mol/m2), posible influencia industrial o combustión.",297.50164794921875,292.1857604980469,-0.0054100751876831055,-1.442461371421814,677.419921875,81.76835632324219,85866.6875,4.8053450882434845e-05,0.10294999927282333,0.07380000501871109,3.872760057449341,0.8335963699442381
contaminacion_alta_SO2,20240215T153629_20240215T153626_T18NUJ,2024-02-15 15:36:29,3.3865587896023075,-76.42605925856172,0.6661167740821838,-0.2515745162963867,1.0,1.485668690293096e-05,0.00041999155655503273,0.10687464475631714,"Zona con SO2 alto (4.20e-04 mol/m2), posible influencia industrial o combustión.",300.56927490234375,294.1932373046875,-0.42910194396972656,-0.9663064479827881,652.5313720703125,74.34342956542969,89390.859375,0.0,0.324052631855011,0.23426313698291779,3.708439826965332,0.8348322396352817
contaminacion_alta_SO2,20230317T153621_20230317T153946_T18NUJ,2023-03-17 15:36:21,3.342182014566824,-76.56709475817051,0.7254763841629028,-0.27394556999206543,1.0,0.0,0.00018900724535342306,0.11618789285421371,"Zona con SO2 alto (1.89e-04 mol/m2), posible influencia industrial o combustión.",296.0018310546875,288.9534912109375,1.076496958732605,0.08439064025878906,1087.359619140625,86.74278259277344,85445.75,0.0001800190657377243,0.2409999966621399,0.17299999296665192,2.0763752460479736,0.8385190996077485
contaminacion_alta_SO2,20230913T153621_20230913T153622_T18NUJ,2023-09-13 15:36:21,3.437762760797096,-76.38141298894034,0.7043478488922119,-0.3045123219490051,1.0,8.984866326500196e-06,0.00026224515750072896,0.12457457184791565,"Zona con SO2 alto (2.62e-04 mol/m2), posible influencia industrial o combustión.",300.5228576660156,293.8990173339844,-1.2521114349365234,-0.764687180519104,641.394287109375,83.28368377685547,89489.59375,9.96515154838562e-07,0.3959999978542328,0.28600001335144043,2.1560797691345215,0.8565462363080527
contaminacion_alta_SO2,20210804T153621_20210804T154132_T18NUJ,2021-08-04 15:36:21,3.4222219063818358,-76.6233292949572,0.6870077848434448,-0.30562305450439453,1.0,1.070127655111719e-05,0.0004166392027400434,0.11544939875602722,"Zona con SO2 alto (4.17e-04 mol/m2), posible influencia industrial o combustión.",296.9025573730469,290.8732604980469,-0.15771234035491943,-0.6030298471450806,981.156005859375,89.47149658203125,85447.578125,3.6951154470443726e-05,0.09262499958276749,0.06650000065565109,1.7283201217651367,0.8587119761246086
